Year ending,Local Government Area,Output Year,Year ending,Latitude (generated),Longitude (generated),Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
June, Yarriambiack,2022,June,-36.0263,142.3885,"2,620.5",168,"4,804.3",97,"1,513.0",308,426,"6,644.9",166,"2,589.3"
June, Yarra Ranges,2022,June,-37.75,145.7239,"1,598.9","2,507","3,141.1","1,964","1,252.6","4,925","7,009","4,470.2","2,703","1,723.9"
June, Yarra,2022,June,-37.8048,144.9868,"3,584.0","3,303","9,460.8","1,124","1,219.6","8,719","12,420","13,476.7","5,358","5,813.9"
June, Wyndham,2022,June,-37.8934,144.6296,"1,815.9","5,585","3,957.9","4,031","1,310.6","12,173","16,306","5,301.7","7,397","2,405.1"
June, Wodonga,2022,June,-36.1451,146.9108,"3,223.6","1,414","6,150.8",918,"2,092.8","2,698","3,534","8,056.7","1,406","3,205.4"
June, Whittlesea,2022,June,-37.5509,145.0622,"1,988.3","4,664","3,693.5","2,951","1,258.0","8,664","11,971","5,103.3","4,833","2,060.3"
June, Whitehorse,2022,June,-37.8336,145.156,"1,235.6","2,109","3,187.7","1,379",807.9,"5,441","7,454","4,367.1","3,443","2,017.1"
June, West Wimmera,2022,June,-36.5929,141.4002,"1,701.9",67,"3,454.6",46,"1,168.5",136,169,"4,292.8",71,"1,803.5"
June, Wellington,2022,June,-37.9117,146.8803,"3,914.4","1,793","6,632.4","1,218","2,659.1","3,038","4,449","9,712.8","1,782","3,890.3"
June, Warrnambool,2022,June,-38.3777,142.502,"3,495.7","1,247","5,982.2",651,"1,824.9","2,134","2,995","8,395.8","1,034","2,898.6"
June, Wangaratta,2022,June,-36.6165,146.4315,"3,201.4",959,"5,451.3",618,"2,063.0","1,633","2,269","7,574.4",793,"2,647.2"
June, Towong,2022,June,-36.3659,147.6027,821.4,51,"2,029.4",32,515.4,126,154,"2,480.4",75,"1,208.0"
June, Swan Hill,2022,June,-35.1004,143.0211,"5,279.0","1,122","7,753.9",604,"2,841.8","1,648","2,318","10,906.2",803,"3,778.1"
June, Surf Coast,2022,June,-38.3398,144.0973,"1,121.4",439,"2,477.9",304,776.6,970,"1,234","3,152.3",586,"1,497.0"
June, Strathbogie,2022,June,-36.7224,145.3746,"1,760.5",203,"3,521.1",165,"1,431.0",406,661,"5,732.6",213,"1,847.3"
June, Stonnington,2022,June,-37.8616,145.0394,"2,823.4","2,974","7,506.7",891,845.9,"7,907","10,472","9,941.8","5,073","4,816.2"
June, Southern Grampians,2022,June,-37.5312,141.958,"2,834.1",466,"4,597.8",240,"1,459.6",756,"1,118","6,799.4",400,"2,432.7"
June, South Gippsland,2022,June,-38.6978,146.0096,"2,058.1",631,"3,907.5",540,"1,761.3","1,198","1,703","5,554.7",663,"2,162.5"
June, Queenscliffe,2022,June,-38.2752,144.6166,"1,077.4",36,"3,292.0",14,419.0,110,130,"3,890.5",81,"2,424.1"
June, Pyrenees,2022,June,-37.326,143.4243,"1,786.0",137,"3,936.9",87,"1,134.2",302,419,"5,462.2",161,"2,098.8"
June, Port Phillip,2022,June,-37.8586,144.9829,"3,222.9","3,326","8,900.3","1,401","1,357.6","9,185","12,074","11,699.8","6,040","5,852.8"
June, Northern Grampians,2022,June,-36.8503,143.0224,"4,393.4",523,"6,661.4",273,"2,293.3",793,"1,047","8,795.1",381,"3,200.5"
June, Nillumbik,2022,June,-37.6143,145.2456,"1,002.7",631,"2,054.6",454,721.4,"1,293","1,832","2,911.1",757,"1,202.9"
June, Murrindindi,2022,June,-37.2809,145.6093,"2,082.1",318,"3,372.0",217,"1,420.8",515,747,"4,891.1",295,"1,931.5"
June, Moyne,2022,June,-38.1862,142.3722,"1,663.9",290,"3,058.2",173,992.6,533,773,"4,435.2",320,"1,836.0"
June, Mount Alexander,2022,June,-37.0762,144.2752,"1,948.3",396,"3,567.0",184,905.3,725,985,"4,846.2",393,"1,933.6"
June, Mornington Peninsula,2022,June,-38.3311,145.0821,"2,151.6","3,677","3,863.1","2,042","1,194.9","6,602","9,108","5,329.5","3,535","2,068.5"
