Year,Robbery,State,Sassault,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7646,NSW,4159,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,8828,NSW,5038,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,12571,NSW,4660,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,13324,NSW,4503,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,12553,NSW,4427,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,13328,NSW,5975,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,15234,NSW,6268,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,11707,NSW,6477,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,10849,NSW,6799,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,8885,NSW,7072,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,9565,NSW,6826,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,9240,NSW,6669,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,9344,NSW,6787,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,8091,NSW,7142,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6760,NSW,7080,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6569,NSW,7269,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5327,NSW,7024,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,5100,NSW,7628,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4723,NSW,8121,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3850,NSW,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2930,NSW,8603,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2602,NSW,8795,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2676,NSW,9847,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2817,NSW,10241,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2861,NSW,11009,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2482,NSW,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1704,VIC,2802,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1913,VIC,2810,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2491,VIC,3005,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2997,VIC,3321,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,3407,VIC,3398,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3355,VIC,3154,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,4539,VIC,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3200,VIC,3427,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2902,VIC,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2296,VIC,3540,,,,,,,,,,,,,,,,,,,,,,,,,,,
